item,context,metric,full_precision_value,lower95,upper95,tolerance
Figure 3,paired 200000 to 400000 updates,Delta_B_200_400,0.015374002101886552,-0.019946467891638776,0.05604443820295169,1e-10
Figure 3,paired 400000 to 800000 updates,Delta_B_400_800,0.0027411059875608323,-0.026523286974580933,0.030090527652384808,1e-10
Figure 3,paired 200000 to 400000 updates,Delta_K_200_400,-0.0005039579463517649,-0.0007345015288568352,-0.0002798413268173243,1e-10
Figure 3,paired 400000 to 800000 updates,Delta_K_400_800,-0.0003512583869616421,-0.0004646129871370383,-0.00023553664668667792,1e-10
Figure 3,200000 to 800000 updates,N0_ABS_reduction_percent,22.118280350793572,,,1e-10
Figure 3,800000 updates divided by epsilon0,N0_ABS_benchmark_multiple,3.8118945511110454,,,1e-10
Figure 4,A,E_WITHIN,2.651547497677414e-05,2.3037961906423396e-05,3.034172273413711e-05,1e-10
Figure 4,A,E_PAIR,0.0005224646534125021,0.00047605261338285636,0.0005726670169874511,1e-10
Figure 4,A,E_SHARED,0.0004959491784357262,0.0004518264445928253,0.0005436400994393993,1e-10
Figure 4,A,F_WITHIN,0.050750753765995624,0.046357540769122726,0.055180999822530774,1e-10
Figure 4,A,K,0.0010427076230034129,0.0009353226930955297,0.0011739643584215184,1e-10
Figure 4,A,N0_ABS,0.03611433999082786,0.03414976189119889,0.0380662616301445,1e-10
Figure 4,A,BETA_POS,0.9894179930224787,0.97175871419735,1.0074244830958865,1e-10
Figure 4,C,E_WITHIN,6.873303903797649e-06,6.0582372233691445e-06,7.698203186847403e-06,1e-10
Figure 4,C,E_PAIR,8.346858620502111e-05,7.671711197813463e-05,9.07675703764176e-05,1e-10
Figure 4,C,E_SHARED,7.65952823012235e-05,7.03968334155803e-05,8.333108449609565e-05,1e-10
Figure 4,C,F_WITHIN,0.08234599645566035,0.0758021752359723,0.08885876245623558,1e-10
Figure 4,C,K,9.678121826936936e-05,8.930330555285451e-05,0.00010425373792275062,1e-10
Figure 4,C,N0_ABS,0.016440353987199383,0.015621864519583865,0.017295490881171553,1e-10
Figure 4,C,BETA_POS,0.9972437674938085,0.9932791245134532,1.0011922980825751,1e-10
Figure 4,D,E_WITHIN,1.0508880675499715e-06,7.328539619815257e-07,1.4401546070158336e-06,1e-10
Figure 4,D,E_PAIR,0.000436249096795217,0.0003948650125938095,0.0004782328746309119,1e-10
Figure 4,D,E_SHARED,0.00043519820872766566,0.00039387695266862414,0.0004773290674046893,1e-10
Figure 4,D,F_WITHIN,0.002408917463142111,0.0017397838515256139,0.003211967920724682,1e-10
Figure 4,D,K,0.0011238644677594096,0.0010283762961143662,0.001238928035429441,1e-10
Figure 4,D,N0_ABS,0.005945446618861908,0.005265373295885894,0.006754337297348694,1e-10
Figure 4,D,BETA_POS,1.0681216021980329,1.0506206223146608,1.0879817157918539,1e-10
Figure 4,E,E_WITHIN,1.402862866229818e-07,8.024156217471354e-08,2.201887728026011e-07,1e-10
Figure 4,E,E_PAIR,9.718286198778359e-05,8.707406647064714e-05,0.00010792593468135795,1e-10
Figure 4,E,E_SHARED,9.704257570116072e-05,8.694590723454885e-05,0.00010778659618646783,1e-10
Figure 4,E,F_WITHIN,0.0014435290724471206,0.0008737835678097956,0.002231430855826847,1e-10
Figure 4,E,K,0.0002258366618430631,0.0002107148372764567,0.0002427064563033471,1e-10
Figure 4,E,N0_ABS,0.002268019441790579,0.001861024381691007,0.002732571298604629,1e-10
Figure 4,E,BETA_POS,1.0350833417741478,1.0297050149868519,1.0404343959074722,1e-10
Figure 4,D-A,E_WITHIN,-2.5464586909224168e-05,-2.9068283517220867e-05,-2.2225454696018787e-05,1e-10
Figure 4,D-A,K,8.115684475599669e-05,2.8118969970764266e-05,0.00013529513905096224,1e-10
Figure 4,E-C,E_WITHIN,-6.733017617174667e-06,-7.568355787524758e-06,-5.946036221706225e-06,1e-10
Figure 4,E-C,K,0.00012905544357369377,0.00011475127291033386,0.0001453289637790185,1e-10
Table 1,Z D-A,E_WITHIN_COMP,-7.36185754060277e-07,-2.091229442608121e-06,4.7596231339186127e-07,1e-10
Table 1,Z C-A,E_WITHIN_COMP,-1.5570422039304083e-05,-1.770220758588064e-05,-1.3578956591469239e-05,1e-10
Table 1,P D-A,E_WITHIN_COMP,-5.672834754784761e-07,-1.980753790658871e-06,6.504401187314289e-07,1e-10
Table 1,P C-A,E_WITHIN_COMP,-1.6290843208366535e-05,-1.8601319093962347e-05,-1.4080643856816989e-05,1e-10
Table 2,n=10,R_APPROX,0.03942338039700633,0.0373045023453253,0.04157778527952576,1e-10
Table 2,n=10,E_PAIR,0.039395488527366136,0.037302116074958265,0.041492924897734436,1e-10
Table 2,n=10,E_SHARED,0.03794512358097015,0.03585034445671885,0.04004245486699956,1e-10
Table 2,n=10,E_WITHIN,0.0014503649463960073,0.0013507939234626294,0.001562199699750621,1e-10
Table 2,n=10,F_WITHIN,0.036815508592779836,0.03383323775896484,0.040238200003685914,1e-10
Table 2,n=10,ABS_DELTA,0.05464698555806535,0.05313175347055221,0.05620439708118852,1e-10
Table 2,n=10,RMS_DELTA,0.07616731441756384,0.07350629696438336,0.07904934407584005,1e-10
Table 2,n=10,task_MSE,9.786291542342559,,,1e-10
Table 2,n=10,minimum_norm_task_MSE,9.742655999543267,,,1e-10
Table 2,n=10,mean_posterior_variance,10.025268503905156,,,1e-10
Table 2,n=15,R_APPROX,0.05326006501788736,0.04796410854690966,0.06112723334412871,1e-10
Table 2,n=15,E_PAIR,0.0537914484967306,0.04813759708965417,0.06240492492114173,1e-10
Table 2,n=15,E_SHARED,0.05228973918020635,0.04665987090023526,0.06082466707977991,1e-10
Table 2,n=15,E_WITHIN,0.0015017093165242152,0.0013912494818661423,0.0016446755018765565,1e-10
Table 2,n=15,F_WITHIN,0.02791725001819737,0.023848089346639935,0.03197380860368704,1e-10
Table 2,n=15,ABS_DELTA,0.05599248689804881,0.05444921889529155,0.05758815265465387,1e-10
Table 2,n=15,RMS_DELTA,0.07750378872091906,0.07459891370387717,0.08110919801884658,1e-10
Table 2,n=15,task_MSE,5.080262159954815,,,1e-10
Table 2,n=15,minimum_norm_task_MSE,5.02249603978752,,,1e-10
Table 2,n=15,mean_posterior_variance,5.012609382830302,,,1e-10
