manuscript_item,metric,context,displayed_value,full_precision_value
Figure 2,A,transformer; checkpoint=100000,graphical/supplemental value; full precision supplied,0.48747883195949737
Figure 2,M,transformer; checkpoint=200000; layer=projected_query,graphical/supplemental value; full precision supplied,0.8292531405479115
Figure 2,M,transformer; checkpoint=200000; layer=block1_return,graphical/supplemental value; full precision supplied,0.6024907242568712
Figure 2,M,transformer; checkpoint=200000; layer=block2_return,graphical/supplemental value; full precision supplied,0.37382408093793024
Figure 2,M,transformer; checkpoint=200000; layer=final_layernorm,graphical/supplemental value; full precision supplied,0.24839667514287694
Figure 2,P,transformer; checkpoint=200000,graphical/supplemental value; full precision supplied,0.03560615179738937
Figure 2,A,transformer; checkpoint=200000,"0.4123 [0.3639, 0.4503]",0.4122829865127904
Figure 2,seed_A200k,transformer; seed=801; checkpoint=200000,graphical/supplemental value; full precision supplied,0.3968545791125601
Figure 2,seed_A200k,transformer; seed=802; checkpoint=200000,graphical/supplemental value; full precision supplied,0.4506635213682417
Figure 2,seed_A200k,transformer; seed=803; checkpoint=200000,graphical/supplemental value; full precision supplied,0.45439701527580756
Figure 2,seed_A200k,transformer; seed=804; checkpoint=200000,graphical/supplemental value; full precision supplied,0.31936608269712363
Figure 2,seed_A200k,transformer; seed=805; checkpoint=200000,graphical/supplemental value; full precision supplied,0.43833677827425743
Figure 2,T_A,transformer; checkpoint=200000/5000,"0.5084 [0.4674, 0.5367]",0.5084155643849863
Figure 2,R_P,transformer; checkpoint=200000/5000,"0.4020 [0.3334, 0.4629]",0.4019873729276986
Figure 3,BETA_POS,cohort at 200000 updates,graphical/supplemental value; full precision supplied,0.9491112561300863
Figure 3,N0_ABS,cohort at 200000 updates,"0.04894 [0.04485, 0.05299]",0.04894466337261836
Figure 3,K,cohort at 200000 updates,graphical/supplemental value; full precision supplied,0.0019167165628474747
Figure 3,BETA_POS,cohort at 400000 updates,graphical/supplemental value; full precision supplied,0.9644852582319728
Figure 3,N0_ABS,cohort at 400000 updates,"0.04201 [0.03955, 0.04444]",0.04201035369107161
Figure 3,K,cohort at 400000 updates,graphical/supplemental value; full precision supplied,0.0014127586164957098
Figure 3,BETA_POS,cohort at 800000 updates,graphical/supplemental value; full precision supplied,0.9672263642195337
Figure 3,N0_ABS,cohort at 800000 updates,"0.03812 [0.03441, 0.04176]",0.038118945511110454
Figure 3,K,cohort at 800000 updates,graphical/supplemental value; full precision supplied,0.0010615002295340677
Figure 3,R_N_200_400,paired 200000 to 400000 updates,graphical/supplemental value; full precision supplied,0.8583234779090118
Figure 3,R_N_400_800,paired 400000 to 800000 updates,graphical/supplemental value; full precision supplied,0.907370259041923
Figure 3,R_N_200_800,paired 200000 to 800000 updates,graphical/supplemental value; full precision supplied,0.7788171964920643
Figure 3,Delta_N_200_400,paired 200000 to 400000 updates,graphical/supplemental value; full precision supplied,-0.006934309681546749
